AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO;EnteredBy
15896;Husky;;M/N;24618 Jn12;2008-01-30;20078;Prince;200;;Black & White;;20lbs;;POLICE-DAY;Redeemed;21;Guy Palanuik
15898;Maltese X;;M;24617 Jn12;2008-01-31;20048;Chico;200;;Tan;;8lbs;;POLICE-DAY;Redeemed;5;Bill Stevenson
15902;Golden Retriever;2008-12-10;M/N;;2008-01-31;40000;Shadow;400;;Golden;;75;;PATROL;Ride Home Free;3;Bob Cristofoli
15907;Pit Bull X Amer Bulldog;2007-12-19;M/N;08 163432 Jn12;2007-12-01;20010;Booda;200;;Brindle;;65lbs;;SPCA;Sold;11;Mariana Ardeleanu
15908;Jack Russell;2007-12-19;M/N;;2007-12-11;10004;Landry;100;;White & Brown Spots;;21 lbs;;BROUGHT-IN;Transferred;;Susy Jakoncic
15919;Border Collie;2007-01-09;M/N;24623 - skj;2008-01-24;20059;Cider;200;;Black & White;;45;;OTHER;Sold;;Katie Ernst
15921;Beagle;2008-02-08;M;08 - 163425;2008-01-26;20070;Mooch;200;;Tri Colour;;25 lbs.;;HOLDING STRAY;Sold;14;Ching Koo
15927;German Shepherd;;M/N;Jez;2008-02-02;20079;Fa;200;;Black & Tan;;90 lbs;;COMPLAINT;Redeemed;;Jez Figol
15932;Sheltie;;M/N;n/c rf4;2008-02-03;40004;Dino;400;;Golden Sable;;27 lbs;;HOLDING STRAY;Ride Home Free;;Mariana Ardeleanu
15936;German Shepherd X;;M/N;08/163312;2008-02-05;20088;Max;200;;Tan & Black;;80 lbs;;HOLDING STRAY;Redeemed;22;Lori Fitzgerald
15938;German Shepherd X;;M;24636 - skj;2008-02-06;20041;Boris;200;;Black & Tan;;60 lbs;;HOLDING STRAY;Redeemed;22;Lori Fitzgerald
15939;Maltese Mix;;F;n/c rf4;2008-02-06;40078;Gucci;400;;White;;10lbs;;HOLDING STRAY;Ride Home Free;21;Guy Palanuik
15941;Maltipoo;;F;25745 rf4;2008-02-07;20030;Angel;200;;White;;10;;POLICE-EMERGENCY;Redeemed;;Karen Sinclair
